SKUs;qty;EcoTaxe;AMZ_BE;AMZ_BE_PrixPromo;AMZ_BE_DateDebut;AMZ_BE_DateFin;AMZ_DE;AMZ_DE_PrixPromo;AMZ_DE_DateDebut;AMZ_DE_DateFin;AMZ_ES;AMZ_ES_PrixPromo;AMZ_ES_DateDebut;AMZ_ES_DateFin;AMZ_FR;AMZ_FR_PrixPromo;AMZ_FR_DateDebut;AMZ_FR_DateFin;AMZ_IT;AMZ_IT_PrixPromo;AMZ_IT_DateDebut;AMZ_IT_DateFin;AMZ_Prime;AMZ_Prime_PrixPromo;AMZ_Prime_DateDebut;AMZ_Prime_DateFin;Cdiscount;Cdiscount_PrixPromo;Cdiscount_DateDebut;Cdiscount_DateFin;Cdiscount_FF;Cdiscount_FF_PrixPromo;Cdiscount_FF_DateDebut;Cdiscount_FF_DateFin;LeroyMerlin;LeroyMerlin_PrixPromo;LeroyMerlin_DateDebut;LeroyMerlin_DateFin;LeroyMerlin_FF;LeroyMerlin_FF_PrixPromo;LeroyMerlin_FF_DateDebut;LeroyMerlin_FF_DateFin;Mano_DE;Mano_DE_PrixPromo;Mano_DE_DateDebut;Mano_DE_DateFin;Mano_DE_FF;Mano_DE_FF_PrixPromo;Mano_DE_FF_DateDebut;Mano_DE_FF_DateFin;Mano_ES;Mano_ES_PrixPromo;Mano_ES_DateDebut;Mano_ES_DateFin;Mano_ES_FF;Mano_ES_FF_PrixPromo;Mano_ES_FF_DateDebut;Mano_ES_FF_DateFin;Mano_FR;Mano_FR_PrixPromo;Mano_FR_DateDebut;Mano_FR_DateFin;Mano_FR_FF;Mano_FR_FF_PrixPromo;Mano_FR_FF_DateDebut;Mano_FR_FF_DateFin;Mano_IT;Mano_IT_PrixPromo;Mano_IT_DateDebut;Mano_IT_DateFin;Mano_IT_FF;Mano_IT_FF_PrixPromo;Mano_IT_FF_DateDebut;Mano_IT_FF_DateFin;Mano_Pro;Mano_Pro_PrixPromo;Mano_Pro_DateDebut;Mano_Pro_DateFin;Mano_Pro_FF;Mano_Pro_FF_PrixPromo;Mano_Pro_FF_DateDebut;Mano_Pro_FF_DateFin;Autres;Autres_PrixPromo;Autres_DateDebut;Autres_DateFin;PxReference;Mano_Qte_1;Mano_Rmz_Qte_1;Mano_Qte_2;Mano_Rmz_Qte_2;Mano_Qte_3;Mano_Rmz_Qte_3;Cdiscount_CategoryCode;Cdiscount_Frais_BigParcelEco
327;19;0;25.99;0;;;25.99;0;;;25.99;0;;;25.99;0;;;25.99;0;;;33.66;0;;;25.99;0;;;0;0;;;25.99;0;;;25.99;0;;;25.99;0;;;0;0;;;25.99;0;;;0;0;;;25.99;0;;;0;0;;;25.99;0;;;0;0;;;25.21;0;;;0;0;;;25.99;0;;;29.11;0;0;0;0;0;0;0H0H0901;
329;20;0;7.79;0;;;7.79;0;;;7.79;0;;;7.79;0;;;7.79;0;;;15.46;0;;;7.79;0;;;0;0;;;7.79;0;;;7.79;0;;;7.79;0;;;0;0;;;7.79;0;;;0;0;;;7.79;0;;;0;0;;;7.79;0;;;0;0;;;7.56;0;;;0;0;;;7.79;0;;;8.72;0;0;0;0;0;0;0D081S01;
331;3;0.05;25.99;0;;;25.99;0;;;25.99;0;;;25.99;0;;;25.99;0;;;33.66;0;;;25.99;0;;;0;0;;;25.99;0;;;25.99;0;;;25.99;0;;;0;0;;;25.99;0;;;0;0;;;25.99;0;;;0;0;;;25.99;0;;;0;0;;;25.21;0;;;0;0;;;25.99;0;;;29.11;0;0;0;0;0;0;0I082Q01;
333;735;0;8.99;0;;;8.99;0;;;8.99;0;;;8.99;0;;;8.99;0;;;18.47;0;;;8.99;0;;;0;0;;;8.99;0;;;8.99;0;;;8.99;0;;;0;0;;;8.99;0;;;0;0;;;8.99;0;;;0;0;;;8.99;0;;;0;0;;;8.72;0;;;0;0;;;8.99;0;;;10.12;0;0;0;0;0;0;0D0C0201;
340;142;0;4.99;0;;;4.99;0;;;4.99;0;;;4.99;0;;;4.99;0;;;12.66;0;;;4.99;0;;;0;0;;;4.99;0;;;4.99;0;;;4.99;0;;;0;0;;;4.99;0;;;0;0;;;4.99;0;;;0;0;;;4.99;0;;;0;0;;;4.84;0;;;0;0;;;4.99;0;;;5.59;0;0;0;0;0;0;0D070S01;
341;40;0;16.99;0;;;16.99;0;;;16.99;0;;;16.99;0;;;16.99;0;;;24.66;0;;;16.99;0;;;0;0;;;16.99;0;;;16.99;0;;;16.99;0;;;0;0;;;16.99;0;;;0;0;;;16.99;0;;;0;0;;;16.99;0;;;0;0;;;16.48;0;;;0;0;;;16.99;0;;;19.03;0;0;0;0;0;0;0D070S01;
342;27;0;26.99;0;;;26.99;0;;;26.99;0;;;26.99;0;;;26.99;0;;;34.66;0;;;26.99;0;;;0;0;;;26.99;0;;;26.99;0;;;26.99;0;;;0;0;;;26.99;0;;;0;0;;;26.99;0;;;0;0;;;26.99;0;;;0;0;;;26.18;0;;;0;0;;;26.99;0;;;30.23;0;0;0;0;0;0;0D070S01;
357;144;0;4.99;2.5;2025-07-01;2025-07-28;4.99;2.5;2025-07-01;2025-07-28;4.99;2.5;2025-07-01;2025-07-28;4.99;2.5;2025-06-25;2025-07-22;4.99;2.5;2025-07-01;2025-07-28;12.66;10.32;2025-06-25;2025-07-22;4.99;2.5;2025-06-25;2025-07-22;0;0;;;4.99;2.5;2025-06-25;2025-07-22;4.99;0;;;4.99;2.5;2025-07-01;2025-07-28;0;0;;;4.99;2.5;2025-07-01;2025-07-28;0;0;;;4.99;2.5;2025-06-25;2025-07-22;0;0;;;4.99;2.5;2025-07-01;2025-07-28;0;0;;;4.84;2.42;2025-06-25;2025-07-22;0;0;;;4.99;2.5;2025-06-25;2025-07-22;5.59;0;0;0;0;0;0;0D011101;
378;25;0.32;24.99;0;;;24.99;0;;;24.99;0;;;24.99;0;;;24.99;0;;;32.81;0;;;24.99;0;;;0;0;;;24.99;0;;;24.99;0;;;24.99;0;;;0;0;;;24.99;0;;;0;0;;;24.99;0;;;0;0;;;24.99;0;;;0;0;;;24.24;0;;;0;0;;;24.99;0;;;27.98;0;0;0;0;0;0;19050201;
384;42;0;8.99;0;;;8.99;0;;;8.99;0;;;8.99;0;;;8.99;0;;;16.81;0;;;8.99;0;;;0;0;;;8.99;0;;;8.99;0;;;8.99;0;;;0;0;;;8.99;0;;;0;0;;;8.99;0;;;0;0;;;8.99;0;;;0;0;;;8.72;0;;;0;0;;;8.99;0;;;10.07;0;0;0;0;0;0;0W060301;
390;29;0;3.29;0;;;3.29;0;;;3.29;0;;;3.29;0;;;3.29;0;;;10.96;0;;;3.29;0;;;0;0;;;3.29;0;;;3.29;0;;;3.29;0;;;0;0;;;3.29;0;;;0;0;;;3.29;0;;;0;0;;;3.29;0;;;0;0;;;3.19;0;;;0;0;;;3.29;0;;;3.68;0;0;0;0;0;0;0S080U01;
399;21;0;4.99;0;;;4.99;0;;;4.99;0;;;4.99;0;;;4.99;0;;;12.66;0;;;4.99;0;;;0;0;;;4.99;0;;;4.99;0;;;4.99;0;;;0;0;;;4.99;0;;;0;0;;;4.99;0;;;0;0;;;4.99;0;;;0;0;;;4.84;0;;;0;0;;;4.99;0;;;5.59;0;0;0;0;0;0;0E080C01;
420;4;0;11.59;0;;;11.59;0;;;11.59;0;;;11.59;0;;;11.59;0;;;19.41;0;;;11.59;0;;;0;0;;;11.59;0;;;11.59;0;;;11.59;0;;;0;0;;;11.59;0;;;0;0;;;11.59;0;;;0;0;;;11.59;0;;;0;0;;;11.24;0;;;0;0;;;11.59;0;;;12.49;0;0;0;0;0;0;16060101;
431;19;0.82;74.99;0;;;74.99;0;;;74.99;0;;;74.99;0;;;74.99;0;;;83.75;0;;;74.99;0;;;0;0;;;74.99;0;;;74.99;0;;;74.99;0;;;0;0;;;74.99;0;;;0;0;;;74.99;0;;;0;0;;;74.99;0;;;0;0;;;72.74;0;;;0;0;;;74.99;0;;;83.99;0;0;0;0;0;0;0D020601;
436;0;0;2.89;0;;;2.89;0;;;2.89;0;;;2.89;0;;;2.89;0;;;10.56;0;;;2.89;0;;;0;0;;;2.89;0;;;2.89;0;;;2.89;0;;;0;0;;;2.89;0;;;0;0;;;2.89;0;;;0;0;;;2.89;0;;;0;0;;;2.8;0;;;0;0;;;2.89;0;;;0;0;0;0;0;0;0;;
441;40;0;5.59;0;;;5.59;0;;;5.59;0;;;5.59;0;;;5.59;0;;;13.26;0;;;5.59;0;;;0;0;;;5.59;0;;;5.59;0;;;5.59;0;;;0;0;;;5.59;0;;;0;0;;;5.59;0;;;0;0;;;5.59;0;;;0;0;;;5.42;0;;;0;0;;;5.59;0;;;6.26;0;0;0;0;0;0;160A0101;
442;53;0;3.99;0;;;3.99;0;;;3.99;0;;;3.99;0;;;3.99;0;;;11.66;0;;;3.99;0;;;0;0;;;3.99;0;;;3.99;0;;;3.99;0;;;0;0;;;3.99;0;;;0;0;;;3.99;0;;;0;0;;;3.99;0;;;0;0;;;3.87;0;;;0;0;;;3.99;0;;;4.46;0;0;0;0;0;0;160A0101;
465;168;0;5.29;0;;;5.29;0;;;5.29;0;;;5.29;0;;;5.29;0;;;13.11;0;;;5.29;0;;;0;0;;;5.29;0;;;5.29;0;;;5.29;0;;;0;0;;;5.29;0;;;0;0;;;5.29;0;;;0;0;;;5.29;0;;;0;0;;;5.13;0;;;0;0;;;5.29;0;;;5.81;0;0;0;0;0;0;;
466;36;0;5.79;0;;;5.79;0;;;5.79;0;;;5.79;0;;;5.79;0;;;13.61;0;;;5.79;0;;;0;0;;;5.79;0;;;5.79;0;;;5.79;0;;;0;0;;;5.79;0;;;0;0;;;5.79;0;;;0;0;;;5.79;0;;;0;0;;;5.62;0;;;0;0;;;5.79;0;;;6.04;0;0;0;0;0;0;0H0I2801;
469;31;0;4.79;0;;;4.79;0;;;4.79;0;;;4.79;0;;;4.79;0;;;12.46;0;;;4.79;0;;;0;0;;;4.79;0;;;4.79;0;;;4.79;0;;;0;0;;;4.79;0;;;0;0;;;4.79;0;;;0;0;;;4.79;0;;;0;0;;;4.65;0;;;0;0;;;4.79;0;;;5.36;0;0;0;0;0;0;0D020801;
